"name","year","country","description","url","kinopoisk","wiki","pic"
"Алеко",1953,"СССР","фильм-опера. Режиссёр Григорий Рошаль, Сергей Сиделёв","https://www.youtube.com/watch?v=QkjddpEjsdQ","https://www.kinopoisk.ru/film/43448/","https://ru.wikipedia.org/wiki/%D0%90%D0%BB%D0%B5%D0%BA%D0%BE_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC-%D0%BE%D0%BF%D0%B5%D1%80%D0%B0)","https://upload.wikimedia.org/wikipedia/ru/b/bd/%D0%90%D0%BB%D0%B5%D0%BA%D0%BE_%28%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%2C_1953%29.jpg"
"Сказ про то, как царь Пётр арапа женил",1976,"СССР","советский художественный фильм-мелодрама, поставленный на Московской ордена Ленина киностудии «Мосфильм» в 1976 году режиссёром Александром Миттой по мотивам неоконченного произведения А. С. Пушкина «Арап Петра Великого».","https://www.youtube.com/watch?v=aePYhB1VHfY","https://www.kinopoisk.ru/film/43805/","https://ru.wikipedia.org/wiki/%D0%A1%D0%BA%D0%B0%D0%B7_%D0%BF%D1%80%D0%BE_%D1%82%D0%BE,_%D0%BA%D0%B0%D0%BA_%D1%86%D0%B0%D1%80%D1%8C_%D0%9F%D1%91%D1%82%D1%80_%D0%B0%D1%80%D0%B0%D0%BF%D0%B0_%D0%B6%D0%B5%D0%BD%D0%B8%D0%BB","https://upload.wikimedia.org/wikipedia/ru/c/cc/%D0%A1%D0%BA%D0%B0%D0%B7_%D0%BF%D1%80%D0%BE_%D1%82%D0%BE_%D0%BA%D0%B0%D0%BA_%D1%86%D0%B0%D1%80%D1%8C_%D0%9F%D1%91%D1%82%D1%80.jpg"
"Борис Годунов",1954,"СССР","фильм-опера, реж. Вера Строева. В ролях: Александр Пирогов (Борис Годунов), Никандр Ханаев (князь Василий Шуйский)","https://www.youtube.com/watch?v=YxEKkgZ26L8","https://www.kinopoisk.ru/film/46191/","https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%93%D0%BE%D0%B4%D1%83%D0%BD%D0%BE%D0%B2_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC-%D0%BE%D0%BF%D0%B5%D1%80%D0%B0,_1954)","https://upload.wikimedia.org/wikipedia/ru/4/4a/%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%93%D0%BE%D0%B4%D1%83%D0%BD%D0%BE%D0%B2_%D0%BF%D0%BE%D1%81%D1%82%D0%B5%D1%80.jpg"
"Борис Годунов",1986,"СССР","реж. Сергей Бондарчук","https://www.youtube.com/watch?v=41B6WMx8zKQ","https://www.kinopoisk.ru/film/46192/","https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%93%D0%BE%D0%B4%D1%83%D0%BD%D0%BE%D0%B2_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1986)","https://avatars.mds.yandex.net/get-kinopoisk-image/1704946/8137a8e0-aa6c-407c-a2a9-479c0e8e4949/960x960"
"Борис Годунов",2011,"Россия","российская кинодрама, снятая в 2011 году режиссёром Владимиром Мирзоевым по одноимённой исторической трагедии А. С. Пушкина. Премьера фильма состоялась в ноябре 2011 года. Режиссёр перенёс действие пьесы в наши дни.","https://ok.ru/video/29372844722","https://www.kinopoisk.ru/film/586567/","https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%93%D0%BE%D0%B4%D1%83%D0%BD%D0%BE%D0%B2_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_2011)","https://upload.wikimedia.org/wikipedia/ru/5/59/%D0%9F%D0%BE%D1%81%D1%82%D0%B5%D1%80_%D1%84%D0%B8%D0%BB%D1%8C%D0%BC%D0%B0_%C2%AB%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%93%D0%BE%D0%B4%D1%83%D0%BD%D0%BE%D0%B2%C2%BB_%282011%29.jpg"
"Братья разбойники",1912,"Российская империя","немой художественный фильм Василия Гончарова, снятый в 1912 году по мотивам одноимённой поэмы Александра Пушкина. Фильм сохранился.","https://www.youtube.com/watch?v=Tdj7446b5sM","https://www.kinopoisk.ru/film/678790/","https://ru.wikipedia.org/wiki/%D0%91%D1%80%D0%B0%D1%82%D1%8C%D1%8F_%D1%80%D0%B0%D0%B7%D0%B1%D0%BE%D0%B9%D0%BD%D0%B8%D0%BA%D0%B8_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)","https://i.ytimg.com/vi/sQas2KnW8Vk/hqdefault.jpg"
"Граф Нулин",1959,"СССР","Фильм-балет. Композитор Борис Асафьев, балетмейстер и реж. Владимир Варковицкий. В ролях: Ольга Лепешинская (Наталья Павловна), Александр Радунский (её супруг), Сергей Корень (граф Нулин)","https://www.youtube.com/watch?v=8RIIfe026Yc","https://www.kinopoisk.ru/film/1252448/",,"https://i.ytimg.com/vi/8RIIfe026Yc/hqdefault.jpg"
"Домик в Коломне",1913,"Российская империя","Реж. Пётр Чардынин. Актёры: Прасковья Максимова (вдова), Софья Гославская (её дочь), Иван Мозжухин (гусар, он же Мавруша)","https://www.youtube.com/watch?v=rFNRC9joVGQ","https://www.kinopoisk.ru/film/41141/","https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BC%D0%B8%D0%BA_%D0%B2_%D0%9A%D0%BE%D0%BB%D0%BE%D0%BC%D0%BD%D0%B5_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC)","https://upload.wikimedia.org/wikipedia/commons/3/3b/Domik_v_Kolomne_%281913%29_2.jpg"
"Дубровский",1936,"СССР","советская кинодрама режиссёра Александра Ивановского по мотивам одноимённого произведения А. С. Пушкина. Большая часть съёмок фильма прошла в РСФСР, но часть сцен была снята в деревне Станьково (Дзержинский район, Белоруссия). Фильм был восстановлен на киностудии Мосфильм в 1976 году.","https://www.youtube.com/watch?v=bbnhQHKZsN8","https://www.kinopoisk.ru/film/44311/","https://ru.wikipedia.org/wiki/%D0%94%D1%83%D0%B1%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC,_1936)","https://upload.wikimedia.org/wikipedia/ru/b/ba/Dubrovskiy.jpg"
"Дубровский Опера",1961,"СССР","Лирико-драматическая #опера композитора Эдуарда Направника по одноименной повести А.С.Пушкина, либретто Модеста Чайковского. 
Хор и оркестр Московского академического музыкального театра имени К.Станиславского и В.Немировича-Данченко, дирижер - П.#Славинский.
Композитор Эдуард #Направник.
Телеспектакль ""#Дубровский""
Главная редакция музыкальных программ, 1961","https://www.youtube.com/watch?v=37Zyp3pW4Rg","https://www.kinopoisk.ru/film/504138/",,"http://fenixclub.com/uploads/33602/img-102138-2233fca02e.jpg"
